Chapter,Location,Start Date,End Date,Latitude,Longitude,Zoom,Marker,Marker Color,Description,Notes,Media Link,Media Credit,Media Credit Link,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
26 JULY 1874: Castle Creek Valley,Castle Creek Valley,7/26/1874,7/27/1874,44.029167,-103.8555556,11,Plain,green,"March: 4:45am to 5pm <br>
Temp Range: 40 to 66F<br>
Distance Marched: 14<br>
Camp Coordinates: 44.029167N; 103.855556W<br></br>

The expedition left Floral Valley early on the 26th, marching through an area marked by beaver dams and limestone ridges that seemed to grow steeper the further they went. Because these limestone formations resembled the turrets of giant castles, Custer decided to name this place Castle Creek Valley.<br></br>

Roughly 14 miles into their march, they came across a recently inhabited camp. They found smoldering coals and discarded animal bones, as well as fresh tipi poles whose bark had recently been peeled off leaning against the trees. They also found wooden stakes used for drying animal skins driven into the soil. When Bloody Knife spotted a trail of blue smoke in the distance, Custer sent him and two of his “favorite” Arikaran scouts–Black Medicine and Bare Arm--to reconnoiter the situation. Soon, they came galloping back to camp, having seen a Lakotan camp consisting of five tipis just three miles ahead.<br></br>

Spoiling for a fight, Arikaran scouts quickly spurred into action. They put on war paint, stripped their saddles of unnecessary weight, and loaded their guns in anticipation. The previous winter, a fight with Lakotans at Fort Berthold left several Arikaran warriors dead, prompting Bloody Knife to demand “the right to kill and scalp all in [the] camp.” But Custer refused, saying they could only respond if attacked.<br></br>

The party of scouts was joined by Custer, a handful of newspaper correspondents, and a company of soldiers, all of whom made their way towards the Lakotan camp. When they arrived, they saw Lakotan women drying meat while children lay around “enjoying their freedom and sunshine.” They also saw several dogs resting in the shade, along with some “nice, fat ponies.” No men could be seen.<br></br>

Custer sent Louis Agard (a mixed-blood interpreter) to make contact. Agard spoke the Lakotan language, and he carried a white flag. But Custer ordered the rest of his men to surround the camp and prevent “treachery or flight.” <br></br>

Agard clearly frightened the Lakotan people, perhaps because he carried a gun in addition to a white flag. The two dozen Arikaran warriors that he brought with him could not have helped matters much. The women looked “startled and suspicious,” while their children cried and fled into the woods. The commotion roused Slow Bull, who exited his tipi and raised his gun at the approaching Arikaran warriors, who struck him with their whip. When it became clear that Slow Bull’s gun did not function, he entered his tipi to retrieve a pipe, which he held out to convey peaceful intentions.<br></br>

Custer took Slow Bull by the hand and the two smoked. Tensions having eased slightly, Slow Bull invited some of the men into his tipi, where he offered water and introduced his wives. One was the daughter of Red Cloud, a noted Oglala headman. She had four children, long black braids, and bright eyes that, according to the Bismarck Tribune, indicated a warm heart.<br></br>

Before long, the village headman–One Stab–joined them in Slow Bull’s tipi, accompanied by Long Bear. One Stab greeted Custer and said he came from the Red Cloud and Spotted Tail’s agencies, meaning he was Oglala and Sicangu. They smoked the chanupa and One Stab said that because his camp (which numbered 27 people in five tipis) had been out hunting for the past several months, they knew nothing of Custer’s expedition. Custer responded by offering rations in exchange for guidance through the Black Hills, but One Stab demurred. When Custer refused to take no for an answer, One Stab finally “consented” to guide them through “the worst part of the way.” An arrangement was made wherein One Stab, Slow Bull, Long Bear, and one other warrior would join the expedition for a few days that afternoon. While most accounts claim these negotiations were consensual, Private Ewert’s diary described One Stab and his men as hostages. Similarly, an oral history with Strikes Two and Bear’s Belly, two of the Arikaran scouts, also describes them as “prisoners.”<br></br>

Later that day, One Stab, Slow Bull, Long Bear and a fourth, unnamed Lakotan man arrived at the expedition camp. They were given the promised rations, but “seemed rather uneasy.” Custer ordered a group of soldiers to watch as the Lakotan warriors pitched their tents, which led to commotion. Slow Bull and the unnamed man fled, with Long Bear and One Stab following on horseback shortly thereafter. Custer ordered a party of Santee scouts to go after them. One Santee scout caught up with Long Bear and took his horse by the bridle, pulling him back to the camp. But Long Bear resisted, grabbing the scout’s gun and saying he would “just as soon die today as tomorrow.” The scout fell off of his horse, which allowed Long Bear to flee while the scout fired off several rounds. Blood was later found on the ground, although it was unclear whether this belonged to Long Bear or his horse. In search of the escaped warriors, expedition scouts returned to the Lakotan camp–only to find that it had been packed up and abandoned. This suggests that One Stab and his warriors had visited the expedition to buy time so the women and children could escape to safety.<br></br>

Of the four men who had fled, only One Stab was re-captured. He was brought back to camp, where he was tied to an “iron picket pin” with his feet “hobbled” and his legs “bandaged.” According to two Arikaran scouts, Custer “made signs” to suggest that he initially planned “to have them kill” the “captive,” but eventually decided to make him work as a “guide.” One Stab responded by saying that more Lakotans were coming “and all would be killed.” Private Ewert also recalled that One Stab was forced to work as a guide, and “he hated himself for doing it.”<br></br>

When Agard informed One Stab that his people all managed to escape, he was “very much surprised” and the news seemed to enliven his spirits. Still, his own capture weighed heavy on One Stab’s mind. The Arikaran scouts who had been ordered to become One Stab’s “own shadow” recalled how, later that night, he “cried” and “said that his children would cut their hair” for “he was as good as dead.”",,media/26July-CastleCreekValley_SlowBull.jpg,"Slow Bull, photographed by Edward E. Curtis in the early 20th century.",,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
27 JULY 1874: Sioux Camp,Sioux Camp,7/27/1874,7/27/1874,44.029167,-103.855556,11,Plain,green,"Camp Coordinates: 44.029167N; 103.855556W<br></br>

July 27th was calm and uneventful, but the events of the previous day remained on everyone’s mind. Donaldson was especially eager to find out what happened to Long Bear. Although his fate remained a “mystery,” expedition soldiers did manage to locate his saddle and blanket, all covered in blood, as well as some food and his guncover. Most likely, Long Bear had abandoned everything that might slow him down or impede his escape. Luckily, he succeeded in getting away. Although fifteen soldiers had “scoured the woods,” they could find no trace of his horse nor its rider. “Whatever his misfortune may be,” Donaldson concluded, “it is the result of his own indiscretion and double-dealing.”<br></br>
 
Besides the failed search for Long Bear, not much happened that day. Expedition miners busied themselves panning for gold, but returned to camp empty handed. And two companies of soldiers were ordered to help Ludlow reconnoiter the area and take numerous altitude measurements. “We are at present in the heart of the unexplored country,” Fred Power wrote in his diary, and Custer was determined to “give the world a map” while “our friend Illingworth will furnish the finest of views that the country can afford.” Stereoscopic photographs and adventure stories published by newspapers were expected to entice fortune-seekers to the Black Hills, while Ludlow’s topographical map would show them the way to access the region.",,media/27July-CastleCreekHeadquarters.jpg,Expedition Headquarters in Castle Creek Valley. Photographed by William H. Illingworth.,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
28 JULY 1874: Elk Horn Prairie,Elk Horn Prairie,7/28/1874,7/29/1874,44.01444444,-103.8075,11,Plain,green,"March: 4:45am to 2pm<br>
Distance Marched: 10 miles<br>
Camp Coordinates: 44.014444N; 103.8075W<br></br>

The expedition marched about three miles north-east to an open prairie. Finding it impossible to continue, the column marched back in the direction of the previous night’s camp at Castle Creek. According to Fred Power, they had been led astray by “Gen. Custer’s prisoner,” One Stab, who brought them to what Private Ewert described as a country “so broken as to veto any further progress in that direction.” Donaldson had a different understanding, claiming that an “interpreter” had “misunderstood the guide.” Although it is impossible to know for certain, it is tempting to speculate that One Stab may have deliberately led expedition leaders astray, perhaps hoping to frustrate their desire to enter the heart of the Black Hills. <br></br>

While expedition soldiers waited for the officers to reconnoiter a route out of the prairie, they came across a large pile of Elk horns, which had been bleached by the sun. The expedition naturalist George Bird Grinell offered the most detailed description, writing that “we came upon a collection of horns” which had been “gathered together by the Indians.” “Three lodge-poles had been set up in the ground so as to form a tripod,” he continued, “and supported by these was a pile of horns 8 or 10 feet high.” Writing in the St. Paul Pioneer, Donaldson speculated that it was “doubtless” a “votive offering to some deity.” Private Ewert, on the other hand, felt that the Elk horns “seemed emblematical of the fact that the country ahead would ‘buck’ against our further progress in that direction.”",,media/28July-ElkhornPrarie.jpg,A stack of bleached elk horns arranged along lodge poles. Photographed by William H. Illingworth.,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
29 JULY 1874: Indian Camp,Indian Camp,7/31/1874,8/1/1874,44.01444444,-103.8075,11,Plain,green,"March: 4:45am to 3pm <br>
Temperature Range: 64 to 82F <br>
Distance Marched: 15 miles <br>
Camp Coordinates: 44.01444444N; 103.8075W <br></br>

The expedition slowly made its way through winding ravines and valleys, still trying to find a way into the heart of the Black Hills. Expedition scouts had been sent to find a passable route, but they failed in their mission (perhaps deliberately). The expedition therefore chose to follow what Fred Power described as an old “Indian trail,” saying that it was “the only way to get out.” But it proved to be a “rough road” that led them down a treacherously narrow ravine. Tasked with clearing the way, Company M removed fallen timber, moved boulders, bridged creeks, and widened the route so wagons could pass. Still toiling away well into the advancing night, they were ordered to bivouac in a little valley three miles from the main camp. Aris Donaldson described eating hardtack and fresh venison under the stars, joking that “to an appetite sharpened by the day's ride… almost anything is good.”",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
30 JULY 1874: Custer Park,Custer Park,8/1/1874,8/2/1874,44.01444444,-103.8075,11,Plain,green,"March: 7am to 1pm<br>
Temperature Range: 46 to 93F<br>
Distance Marched: 10.2<br>
Camp Coordinates: 44.01444444N; 103.8075W<br></br>
Resuming their march at seven o’clock sharp, the expedition passed over scenic prairies and green valleys with abundant deer. As they drew closer to the Black Hills, they noticed ridges glittering in the distance. According to Private Ewert, expedition soldiers debated what might be causing the phenomenon. “Of course speculation was rife,” he noted. “Everyone knew it was something, only they couldn't tell exactly what.” At first, mica was offered as a possibility. Then one soldier piped up, saying that “it looked mightily like silver.” He had apparently heard stories of mountains in Black Hills made of solid silver. Expedition soldiers fantasized about how to carry the silver home on their horses, but once they got  a closer look at the ridges, they were disappointed to learn they only contained Eisenglass.<br></br>

Around noon, the expedition reached a pleasant valley and stopped for a break. One of the miners took his pan to a nearby stream, and returned claiming he had found gold. There was cautious excitement, as the gold was “merely a color, requiring careful manipulation and an experienced eye” to be seen. The miner wrapped these “glittering grains” in paper and tucked them away in his pocketbook as an indication “of what was to come.”<br></br>

After marching another ten miles, the expedition made camp about five miles from Black Elk Peak, the highest point in the Black Hills. According to Knappen, the site’s beauty was unlike anything he had seen, even surpassing Yosemite, Yellowstone, and Central Park. Illingworth set to work, eager to capture the site’s scenic beauty, which they named “Custer Park.”",,media/30July-CusterPark.jpg,"View of Custer Park, photographed by Illingworth.",,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
31 JULY 1874: Custer Park,Custer Park,8/2/1874,8/3/1874,44.01444444,-103.8075,11,Plain,green,"Camp Coordinates: 44.01444444N; 103.8075W<br></br>
The expedition stayed over for a rest day in Custer Park while several small parties went out to survey the region. Prospectors also redoubled their efforts to find gold, with some success. According to the New York Tribune, they found a “good bar, yielding from five to seven cents per pan,” which they considered possibly profitable if the “water was more plentiful.”<br></br> 

Those remaining in camp resupplied their stock, washed their clothes, and mended their riding gear. Meanwhile, Private Ewert described an impromptu game of baseball, the first “ever played in the Black Hills.” That evening, officers gathered under Major Tilford’s tarpaulin for a glass of champagne, and “the entire party became rather ‘boozy’ before ten o'clock p.m.” Illingworth dutifully photographed the moment, while a reporter for the New York Tribune began singing raucously as more bottles were produced that, according to Ewert, were “not filled with water.”<br></br>

Custer led a small party to ascend Black Elk Peak. He was joined by Captain Ludlow, General Forsyth, Professors Winchell and Donaldson, Mr. Wood, and a cavalry escort. After a difficult ride, they began climbing on foot. Traversing through acres of wild raspberries, they made their way up a cliff. Donaldson described “wedging ourselves into the clefts, and pushing ourselves up after the fashion of chimney sweeps.” Having reached the top and breaking for lunch, they realized that another summit rose above them several miles in the distance. When they reached it, they saw yet another summit, hundreds of feet taller than the second peak, in the distance, which led Ludlow to remark they “had more work to do.” Taking their horses and leaving behind their cavalry escort, they pressed on until they ""finally stood below the peak.” Making one last ascent, they finally reached the highest point in the Black Hills. Looking out, they saw the Cheyenne River, Bear Butte, and beautiful pinnacles rising around them. Before they began their descent, they marked their presence by “driving an emptied copper cartridge-case into a cleft in the granite” containing “therein our names and the day of the month.” They finally returned to camp around one in the morning.<br></br>

According to subsequent dispatches from Fort Sully, a group of Lakotan people observed the expedition from afar on July 31st. Four runners arrived at the Cheyenne River Agency on August 3rd, relaying that they did not know much about the expedition, were “peacefully disposed,” came to trade at the agency.",,media/31July-DrinkingParty.jpg,"While General Custer explored Black Elk Peak, Major Tilford invited officers to drink champagne. Photographed by William H. Illingworth",,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
1 AUGUST 1874: Permanent Camp,Permanent Camp,8/3/1874,8/4/1874,43.76944444,-103.5505556,11,Plain,green,"March: 7:45am to 9:30am<br>
Temperature Range: 66 to 70F<br>
Distance Marched: 3.5 miles<br>
Camp Coordinates: 43.76944444N; 103.5505556W<br></br>

The expedition marched a few miles down the valley, skirting the base of the hills until they found a spot with plenty of fresh grass to make camp. The plan was to stay put for several days, giving mineral prospectors plenty of time to look for gold. Two miners named Ross and McKay claimed to find “good colors” (i.e. trace evidence of gold) in the soil along a creek, saying the spot yields “as high as ten cents” a pan. At the same time General Forsyth noted that “the engineers were mapping in all directions.” While the true extent of the region’s mineral resources remained a mystery, hopes ran high that the region would prove profitable for gold, silver, and quartz mining. One newspaper reporter even claimed that Custer’s Valley “bids fair to become the El-Dorado of America.” Meanwhile, General Custer invited the expedition naturalist, George Bird Grinnell, to join a party of cavalry headed towards the Cheyenne River the following morning. This would allow him to expand his collections. Grinnell happily accepted.",,media/1August-PermanentCamp.jpg,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
2 AUGUST 1874: Permanent Camp,Permanent Camp,8/4/1874,8/5/1874,43.76944444,-103.5505556,11,Plain,green,"Camp Coordinates: 43.76944444N; 103.5505556W<br></br>

Although mineral prospectors claimed they found small specks of gold (“color”) many times already, it was Arikaran Scouts who led the expedition to the first major gold deposit.  It was Red Angry Bear who came across it unexpectedly while visiting a spring. He quickly sent word in the Arikara language for the other scouts to come and collect some so they could use it to trim the bridles of their horses. The others followed, and emerged from the spring with their arms “sparkling with all the golden dust.” Custer had the scouts lead him to the site. Upon verifying their find, he rewarded the Arikara: “You scouts have found this,” he assured them, “and you shall have your share.” The spring was so abundant that Strikes Two and Bear Belly recalled him “[throwing] down gold by the handfuls.” Though some soldiers began digging to enrich themselves, the expedition had little time to dwell on their findings. The land was marked on their maps, so others could return in the future. Unlike the small “grains” that mineral prospectors found before, Colonel Ludlow observed that this gold, when examined under a reading glass, resembled “small pin-heads” with “fine scales of irregular shape.”<br></br>

As expedition soldiers chatted about gold, General Custer sent a small party to explore the Badlands to the southeast, past the Cheyenne River. The reconnaissance party consisted of two cavalry companies led by Colonel Hart and Major Hale. It also included the expedition geologist, Winchell, and the noted naturalist George Bird Grinnell, who was accompanied by Luther North. They left early that morning, carrying enough rations for three days on their mules. According to Grinnell, they met trouble on their very first day, finding themselves unable to reach the Cheyenne River. “The country proved even worse for traveling than had been anticipated,” he wrote. <br></br>

Meanwhile, expedition soldiers were busy writing letters back home, which were dispatched the following day. Illingworth was busy too, “fully occupied in securing views of this inimitable scenery.” Donaldson was certain that he would “return with one of the finest collections of photographic art ever offered to the admirers of the sublime and beautiful.”",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
3 AUGUST 1874: Permanent Camp,Permanent Camp,8/5/1874,8/6/1874,43.76944444,-103.5505556,11,Plain,green,"Camp Coordinates: 43.76944444N; 103.5505556W<br></br>

At 8 o’clock on August 3rd, a scout named Charley Reynolds was dispatched to Fort Laramie, about 74 miles away, with the expedition’s mail. For the first half of his journey, Reynolds accompanied a reconnaissance party that Custer had organized to explore the south branch of the Cheyenne River. In addition to five companies of cavalry soldiers, it also included General Forsyth, Colonel Grant, and Ludlow, the topographical engineer. After a forty-five mile trek, they camped between Hot Creek and Horsehead Creek.<br></br>

Meanwhile, another reconnaissance party, which had departed for the Badlands the previous day, faced further difficulties. They were still trying to reach the Cheyenne River, but only made it as far as “Plenty-Spring Creek,” about fifteen miles from their destination. With rations running thin, they were forced to turn back. Winchell and Grinnell, the expedition scientists, were not happy. Although they had found some invertebrate fossils and a few, disarticulated fragments of mammalian rib bone, Grinnell was far from satisfied. Several years later, Grinell complained that his mentor, Othniel Charles Marsh, had far greater success when he visited the same region in November of that year. Bitterly, he noted that Marsh “secured about two tons of vertebrate fossils”–a number far surpassing his own.",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
4 AUGUST 1874: Permanent Camp,Permanent Camp,8/6/1874,8/7/1874,43.76944444,-103.5505556,11,Plain,green,"Camp Coordinates: 43.76944444N; 103.5505556W<br></br>

Custer’s reconnaissance party turned back in the direction of the main camp near Black Elk Peak. Soon, they reached the South Fork of the Cheyenne River, which Ludlow found shallow and alkaline, noting that it was “evidently much broader in wet seasons.” Aris Donaldson wrote that the water was so alkaline that it was nearly undrinkable, and “when carried a little while in canteens becomes nauseating.” They followed the river for a few miles and made a sharp turn to the north, heading into the Red Clay Valley. The temperature rose steadily, and they noted dry soil covered in cacti and sagebrush. The unelenting heat took its toll, and everyone “suffered from thirst.” Two horses grew so weak they were abandoned. The grueling day of travel ended when they reached some pines at the edge of the Black Hills. Finding good grass and springs of fresh water, they slept “soundly, sweetly, healthfully beneath the open sky.”<br></br>

Colonel Hart’s party were headed back towards the main camp as well, and the expedition naturalist, Grinnell, speculated about the geological origins of the Black Hills. Back at camp, mineral prospectors worked from “the first glimmer of light each morning…'till late each evening,” eager to find more traces of gold.",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
5 AUGUST 1874: Permanent Camp,Permanent Camp,8/5/1874,8/6/1874,43.76944444,-103.5505556,11,Plain,green,"Camp Coordinates: 43.76944444N; 103.5505556W<br></br>

Both exploring parties returned to camp on the 5th. Despite traveling a grueling 88 miles to the southeast, Colonel Hart’s group had entirely “failed to reach their destination,” the White River Badlands. Nor had they found any fossils. Samuel Barrows joked that they returned “without any bones more ancient than those they took with them.” Custer’s party arrived at the camp later that day, having traveled about 100 miles over three days.<br></br>

Meanwhile, the mineral prospectors, Ross and McKay, continued looking for gold. Pressure to find significant deposits of precious metal increased steadily throughout the expedition—and now, with rations dwindling, time was running out.<br></br>

Suddenly a loud shout emerged from the gulch: “Boys, I’ve got it!” In no time, “the telegraphic wires would… inform the people of the United States of the marvelous discoveries of gold.” The prospectors did not waste time staking their claim, and put up a notice that read, “Notice is hereby given, that the undersigned claimants do claim (4,000) four thousand feet … for mining purposes, and do intend to work the same as soon as peaceable possession can be had of this portion of the territory by the general government.”<br></br>

While most soldiers celebrated, Private Ewert’s diary registered concern. He predicted “the many falsehoods that would be told and written to induce immigration.” “Come not to the Black Hills,” he warned! “Do not believe everything told of the Black Hills.” “No one has a right to claim any of that land as long as the existing treaty is in force with the Sioux.”<br></br>

Around ten o’clock in the evening Custer quietly approached One Stab with his pony, rifle, and other belongings. Supplied with enough rations to last him five days, One Stab was escorted out of the camp under the cover of darkness. After nine long days of imprisonment, he was finally free. Aris Donaldson was clearly impressed by the “ old man,” who, at “63 years old, is straight and tall,” sat “gracefully in his saddle, and [rode] well.”",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
6 AUGUST 1874: Gillette Prairie,Permanent Camp,8/6/1874,8/7/1874,43.970833,-103.753611,11,Plain,green,"March: 4:45am to 7:30pm<br>
Temperature Range: 65 to 71F<br>
Distance Marched: 23.2 miles<br>
Camp Coordinates: 43.970833N; 103.753611W<br></br>

On August 6th, the expedition broke camp to make their way back in the direction of Fort Lincoln. It is not clear whether the prospector’s success the previous day prompted the decision, or whether they claimed to find gold knowing that it was their last chance to strike pay dirt. Either way, Custer decided to partially retrace the expedition’s steps so he could “examine [...] the practicability of a route northward through the hills.” When they reached Indian Camp, where they had stayed on July 29th, the NY Tribune reported, they “found that much of the grass had been burnt off through the carelessness of soldiers and teamsters.” General Custer renewed his command about fire safety and ordered “any company failing in this to be permanently detailed to pioneer duty” (which involved clearing a new path through the woods). As a thunderstorm loomed, the expedition came to a halt. That evening the rains began, and the expedition ""passed a very unpleasant night"" hunkering down in the storm.<br></br>

Meanwhile, the expedition’s Arikaran scouts nursed their anger about One Stab’s release the previous night. According to the St. Paul Press, they “were very much disgusted when they learned the General had let the old fellow go.” Aris Donaldson noted that “Bloody Knife, slunk to the rear of the marching column and scarce spoke a word all day.” Later, Bear Ears and another Arikaran scout named Mad Bull approached Custer. They “made a great speech,” and Bear Ears promptly “resigned his office as one of the guides of the expedition.”",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
7 AUGUST 1874: Rapid Creek,Permanent Camp,8/7/1874,8/8/1874,44.148056,-103.763889,11,Plain,green,"March: 4:55am to 5:30pm<br>
Distance Marched: 16.2 miles<br>
Camp Coordinates: 44.148056N; 103.763889W<br></br>The expedition set out at dawn, passing by an old camp before leaving their old trail behind to head in the direction of Bear Butte. While the previous night’s rain filled the nearby creeks and streams, the main train was delayed for hours by a thick expanse of cottonwood. Private Ewert wrote of having to “cut a road for a distance of more than ten miles, walking and working.” Later, their march was stymied again by a canyon, and the expedition finally made camp late in the afternoon.<br></br>

While the main column struggled through the dense timber, Custer took a small party to locate a campsite–which Fred Power called “Fruiting Brooke” for its supply of raspberries–in the early afternoon. The valley was full of game, so Custer, Ludlow, Bloody Knife, and a private from Company G named Noonan grabbed their hunting rifles and set off in search of fresh meat. According to Aris Donaldson, they had just spotted a herd of deer when Bloody Knife shouted “motto! motto! (bear! bear!).” Turning away from the deer, they saw a one-thousand-pound grizzly bear. When they shot, the bear turned and ran, with the four men following in hot pursuit. <br></br>

Their hunt became a camp legend, and everyone with access to a pen wrote down their version of the events. Fred Power claimed that “The bear did not show fight, but raised himself on his hind legs, and backed up to a tree, and stood there until the fatal bullet put an end to his earthly pilgrimage.” Others took more poetic license. Aris Donaldson, for example, brought his usual flair for pretension to the encounter. The party having “paid their compliments to the bear in rifle shots,” he wrote, the “courteous invitations” of its waving paws “were only answered by a cold lead, soon to be followed by a keen bloody knife in the hands of Blood Knife, searching for the great jugulars through which flowed the tide of his life.” The bear died, and was triumphantly carried to camp. According to the NY World, Custer wrote to his wife Elizabeth, stating, ""I have reached the hunter's highest round of fame... I have killed my Grizzley."" <br></br>

Returning to camp, the hunting party immediately demanded that the expedition’s photographer, Illingworth, capture their prize on film. He made two exposures, and Aris Donaldson confidently told the St. Paul Pioneer that “You will want the picture.” But this was not the only bear killed on the 7th. According to Fred Power, Nathan H. Knappen, and Aris Donaldson, the Santee scout Red Bird killed what they assumed to be the first victim’s mate later that afternoon, “which was even larger than the male.” <br></br>

Meanwhile, the main column finally trundled into camp. Theodore Ewert reported that the men were greatly excited by news of the hunt, but he had his doubts. In his diary, Ewert wrote that “it was no grizzly but a genuine cinnamon,” noting that “General Custer, of course, wishes to magnify his discoveries to the fullest extent.” Despite Ewert’s private observations, Donaldson wrote that news of the bear lit a spark in the camp, and “Everybody was anxious to go out a hunting, and every one expected to be successful in the capture of the biggest game.” Power commented on the excitement as well, writing that “There has been considerable hunting since by the officers, and others who were at liberty to go, each one hoping that they might be the fortunate ones to kill a ‘bar.’”
",,media/7Aug-Bear.jpg,"Left to right are Bloody Knife, General Custer, Private Noonan and Captain Ludlow, posing with a bear they had shot earlier that day. Photograph by William Illingworth.",,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
8 AUGUST 1874: Quartz Ledge,Permanent Camp,8/8/1874,8/9/1874,44.252778,-103.635556,11,Plain,green,"Temperature Range: 63 to 89F<br>
Distance Marched: 14.7F<br>
Camp Coordinates: 44.252778N; 103.635556W<br></br>

Expedition members awoke to a fog so thick that “nothing could be seen beyond fifty yards’ distance.” They tried at first to march through it, but two miles into their march expedition members halted and waited for the thick fog to dissipate. Their march resumed around 9 or 10 a.m, only to encounter a new obstacle. Fire and storms had destroyed a forest of cottonwood trees, each of which were about 10 to 20 feet long and lay flat on the ground. Expedition soldiers spent much of the day clearing the fallen trees so the wagons could proceed. <br></br>

As the wagons trudged along, Winchell noted an immense vein of white quartz, “somewhat blotched with tints of rose and red.” Some of the men also set out to go hunt, “all full of animation and excitement and ready for deer, elk, grizzlies, or Indians.” Donaldson was among them, following an unnamed sergeant to the top of a nearby peak, where they enjoyed “perfect solitude among the mountains.” But the sergeant soon lost his way, and refused to accept any help. Fed up, Donaldson took his horse and set out on his own, finally meeting up with the main column that evening.<br></br>

Despite traveling almost 15 miles that day, the expedition was still 7 miles away from Bear Butte, their initial destination. Bloody Knife assured them that it was just over the hill, though this fact brought little comfort to the weary men. Meanwhile, back at Fort Laramie, Charley Reynolds (who had left Custer Park on the 3rd of August) arrived safe and sound with the expedition’s mail.",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
9 AUGUST 1874: Little Elk Creek,Permanent Camp,8/9/1874,8/10/1874,44.25325,-103.52725,11,Plain,green,"Distance Marched: 7.5 miles<br>
Camp Coordinates: 44.25325N; 103.52725W<br></br>

The expedition continued through the same country it had traversed on the previous day, noting the “dead and burned timber” as they proceeded East towards Bear Butte. The scenery varied very little, although Winchell observed several hills “capped with stratified limestone” in the distance. It was another difficult day, and after traveling only about seven miles, Custer ordered a halt to the march. The expedition column made camp near a pine forest full of deer, and a spring of cool, clear water. In awe, Donaldson wrote that it had “enough water to supply 10,000 people.”<br></br>

Most of the men welcomed a break after the hardships of the previous days. But Private Ewert and a soldier named William Davis decided to split from the main column and go hunting at around 8 o’clock that morning. By noon, they were completely lost. As they wandered around in fear and confusion, both were anxiously looking out for “signs of enemies” and “talking at random, trying thus to hide his fears and doubts from the other.” Then, suddenly, they heard someone say “HOW” from behind. Ewert immediately cocked his carbine and prepared for a fight, only to see a man throw up his hands and identify himself as one of the expedition’s Arikaran scouts. Using sign language mixed in with some English, Dutch, French, and Spanish, they asked if the scout could help them find the camp. But he, too, was lost. “Misery loves company,” Ewert joked in his diary.",,,,,https://cawm.lib.uiowa.edu/tiles/{z}/{x}/{y}.png,0.9,geojson/1868fltcombinedland.geojson,weight:2;color:gray;opacity:.6;fillColor:white;fillOpacity:0
